country,state,city,station,latitude,longitude,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,2025-05-19 10:00:00,46.0,8.0,32.0,8.0,64.0,69.0,13.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889,2025-05-19 10:00:00,49.0,5.0,21.0,28.0,65.0,72.0,10.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176,2025-05-19 10:00:00,24.0,2.0,21.0,11.0,36.0,23.0,3.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",13.67,79.35,2025-05-19 10:00:00,21.0,1.0,17.0,9.0,40.0,52.0,4.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.40923,2025-05-19 10:00:00,18.0,2.0,8.0,27.0,67.0,94.0,13.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,2025-05-19 10:00:00,41.0,6.0,18.0,8.0,51.0,46.0,20.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,2025-05-19 10:00:00,41.0,5.0,43.0,15.0,48.0,50.0,19.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911,2025-05-19 10:00:00,26.0,5.0,21.0,22.0,48.0,45.0,21.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,2025-05-19 10:00:00,13.0,3.0,15.0,18.0,36.0,23.0,9.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488,2025-05-19 10:00:00,51.0,4.0,12.0,23.0,90.0,102.0,31.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544,2025-05-19 10:00:00,51.0,16.0,19.0,18.0,39.0,46.0,10.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,2025-05-19 10:00:00,25.0,1.0,12.0,1.0,60.0,37.0,5.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574,2025-05-19 10:00:00,19.0,4.0,22.0,3.0,25.0,23.0,9.0
